species_id,common_name,scientific_name,life_type,category,feeding_status,environment_status,space_status,social_status,care_status,gap_fields,commonness_proxy,risk_proxy,priority_score
"sp_0072","牛毛毡","Eleocharis acicularis","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0073","挖耳草","Utricularia graminifolia","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0074","辣椒榕","Bucephalandra sp.","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0075","迷你榕","Anubias barteri var. nana","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0076","小水榕","Anubias barteri var. nana 'Petite'","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0077","绿菊","Cabomba caroliniana","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0078","宫廷草","Rotala rotundifolia 'Green'","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0079","红宫廷","Rotala rotundifolia 'Red'","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0080","莫斯 (三角莫斯)","Vesicularia dubyana","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0081","铁皇冠","Microsorum pteropus","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0082","黑木蕨","Bolbitis heudelotii","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0083","绿温蒂椒草","Cryptocoryne wendtii 'Green'","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0084","大浪草","Aponogeton crispus","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0085","绿浮萍","Lemna minor","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0086","圆心萍","Limnobium laevigatum","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0087","蜈蚣草","Egeria densa","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0088","睡莲 (红荷根)","Nymphaea lotus","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0089","大宝塔","Limnophila aquatica","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0090","细叶铁皇冠","Microsorum pteropus 'Narrow'","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0091","南美叉柱花","Staurogyne repens","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0092","红玫瑰","Ludwigia glandulosa","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0093","十字珍珠","Micranthemum umbrosum","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0094","大叶皇冠","Echinodorus amazonicus","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0095","细叶太阳","Ludwigia inclinata var. verticillata","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0096","虎耳草","Bacopa caroliniana","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0097","绿羽毛","Myriophyllum aquaticum","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0098","箦藻","Blyxa japonica","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0099","鹿角苔","Riccia fluitans","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0100","青丝绒莫斯","Vesicularia sp.","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0101","凤尾藓","Fissidens fontanus","plant","鱼类","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0102","大蜻蜓椒草","Cryptocoryne aponogetifolia","plant","水草","not_applicable","needs_research","needs_research","not_applicable","reviewed_supported","environment|space","catalog_only","standard","10"
"sp_0103","金龙鱼","Scleropages formosus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0104","红龙鱼","Scleropages formosus var. Red","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0105","恐龙鱼 (大花)","Polypterus ornatipinnis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0106","恐龙鱼 (草绳)","Erpetoichthys calabaricus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0107","飞凤鱼 (国旗飞凤)","Semaprochilodus taeniurus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0108","彩虹雷龙","Channa bleheri","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0109","眼镜蛇雷龙","Channa aurantimaculata","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0110","蓝月光雷龙","Channa lorti","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0111","亚洲红鼻","Sawbwa resplendens","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0112","蓝眼灯","Poropanchax normani","fish","灯科鱼","reviewed_unknown","reviewed_supported","reviewed_supported","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0113","斑节鳉","Epiplatys annulatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0114","红莲灯","Hyphessobrycon amandae","fish","灯科鱼","needs_research","reviewed_supported","reviewed_supported","reviewed_supported","template_only","feeding|care","catalog_only","elevated","12"
"sp_0115","琥珀灯","Hyphessobrycon amapaensis","fish","灯科鱼","reviewed_unknown","reviewed_supported","reviewed_supported","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0116","亚洲龙鱼 (青龙)","Scleropages formosus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0117","银龙鱼","Osteoglossum bicirrhosum","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0118","黑龙鱼","Osteoglossum ferreirai","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0119","古代蝴蝶鱼","Pantodon buchholzi","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0120","电鳗 (观赏型)","Gymnotus carapo","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0121","黑斑马异型 (L134)","Peckoltia compta","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0122","金线绿皮异型 (L190)","Panaque nigrolineatus","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0123","女王异型 (L165)","Pterygoplichthys gibbiceps","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0124","蓝眼胡子","Ancistrus sp.","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0125","雪球异型 (L102)","Hypancistrus inspector","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0126","三间鼠","Chromobotia macracanthus","fish","鲶鱼/异型","template_only","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","catalog_only","elevated","7"
"sp_0127","巴基斯坦鼠","Botia almorhae","fish","鲶鱼/异型","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0128","吸鳅 (中国爬岩鳅)","Beaufortia kweichowensis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0129","宽鳍鱲 (溪流之王)","Zacco platypus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0130","马口鱼","Opsariichthys bidens","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0131","刺鳅","Mastacembelus armatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0132","玻璃拉拉","Parambassis ranga","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0133","红苹果美人","Glossolepis incisus","fish","鱼类","template_only","reviewed_supported","reviewed_supported","reviewed_supported","reviewed_supported","feeding","catalog_only","elevated","7"
"sp_0134","燕子美人","Iriatherina werneri","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0135","霓虹燕子","Pseudomugil furcatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0136","巧克力曼龙","Sphaerichthys osphromenoides","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0137","飞凤鱼","Semaprochilodus insignis","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0138","黑带好汉","Leporinus fasciatus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0139","淡水白鲳","Piaractus brachypomus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0140","黑斑水虎","Serrasalmus rhombeus","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0141","甜心柠檬灯","Hyphessobrycon pulchripinnis var.","fish","灯科鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0142","球鱼 (玛丽变种)","Poecilia sphenops var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0143","红草尾孔雀鱼","Poecilia reticulata var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0144","蓝草尾孔雀鱼","Poecilia reticulata var.","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0145","大耳孔雀鱼","Poecilia reticulata var. Dumbo","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
"sp_0146","白金波子","Mikrogeophagus ramirezi var. Platinum","fish","慈鲷/斗鱼","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","elevated","3"
"sp_0147","蓝宝鹦鹉鱼","Amatitlania nigrofasciata var. Blue","fish","慈鲷/斗鱼","needs_research","needs_research","needs_research","inherited_reviewed","reviewed_supported","feeding|environment|space","catalog_only","elevated","18"
"sp_0148","雪玉鹦鹉鱼","Amatitlania nigrofasciata var. White","fish","慈鲷/斗鱼","needs_research","needs_research","needs_research","inherited_reviewed","reviewed_supported","feeding|environment|space","catalog_only","elevated","18"
"sp_0149","熊猫金鱼","Carassius auratus var. Panda","fish","鱼类","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","reviewed_unknown","","catalog_only","standard","0"
